,Star ID,RA,DE,Magnitude
142,142,0.21837139,1.45624411,5.5
180,180,0.26840197,1.50080993,4.5
307,307,0.47478673,1.55384598,2.1
343,343,0.53719693,1.4147413,6.0
432,432,0.69999143,1.41789816,5.9
499,499,0.80197559,1.41861574,6.0
549,549,0.87311703,1.47898968,5.8
622,622,1.00912939,1.50951268,5.8
649,649,1.05401008,1.40613484,5.3
684,684,1.11877533,1.46071051,5.4
690,690,1.12678421,1.4086501,5.6
692,692,1.1293265,1.45257281,5.7
782,782,1.26932169,1.41575073,5.3
1167,1167,1.91045333,1.52064002,5.3
1178,1178,1.92284255,1.44014083,5.1
1550,1550,2.48763146,1.42331756,4.6
1700,1700,2.71704154,1.47494255,5.6
1713,1713,2.72779727,1.44538497,5.3
2100,2100,-2.92933246,1.46065922,5.8
2101,2101,-2.92880545,1.46057127,5.3
2458,2458,-2.38429762,1.44371265,5.7
2769,2769,-1.8717998,1.43331063,4.4
2858,2858,-1.73059452,1.39945619,5.9
2936,2936,-1.62182262,1.51162375,4.4
2939,2939,-1.61790217,1.51830041,5.9
3407,3407,-0.90989795,1.41813577,5.6
3457,3457,-0.84504194,1.43724126,5.7
3466,3466,-0.82941485,1.40264898,5.6
3533,3533,-0.71771204,1.41410173,6.0
3720,3720,-0.44697744,1.49849611,5.4
3793,3793,-0.31531663,1.44668039,5.0
3815,3815,-0.28410614,1.46745247,5.0
3915,3915,-0.14150184,1.51899098,5.6
4215,4215,0.18459978,1.30402605,5.6
4225,4225,0.19368254,1.30157871,5.4
4228,4228,0.19570182,1.26365212,6.0
4340,4340,0.29614776,1.38594269,5.7
4421,4421,0.38167253,1.22187442,6.0
4452,4452,0.41222278,1.27035952,5.5
4469,4469,0.43203612,1.22820657,5.3
4553,4553,0.5140378,1.23335277,4.6
4559,4559,0.5197555,1.25979237,4.1
4561,4561,0.52376109,1.34464747,5.4
4564,4564,0.526559,1.32429121,5.3
4693,4693,0.66859165,1.26713561,5.3
4809,4809,0.78257874,1.38271936,5.7
4839,4839,0.81359389,1.29514155,4.9
4874,4874,0.84604552,1.35357367,5.5
4999,4999,0.97735828,1.2342793,5.4
5005,5005,0.98193817,1.24234277,4.7
5237,5237,1.16798401,1.26404036,6.0
5308,5308,1.23075784,1.32390482,6.0
5406,5406,1.30172838,1.29149138,6.0
5454,5454,1.33537403,1.28955208,5.4
5482,5482,1.36150357,1.27783122,5.8
5495,5495,1.37129327,1.3819293,5.2
5860,5860,1.66917283,1.23161035,6.0
5918,5918,1.71363393,1.36205917,5.9
5945,5945,1.73546728,1.3896999,5.6
6021,6021,1.80120387,1.34469707,4.8
6040,6040,1.81380166,1.23706775,5.8
6377,6377,2.0693143,1.29249858,5.6
6391,6391,2.08137416,1.38964027,5.3
6486,6486,2.15249421,1.32492792,5.7
6791,6791,2.40376737,1.2767962,5.9
6896,6896,2.48751874,1.22263451,4.6
6897,6897,2.48806241,1.26413054,5.8
6935,6935,2.52372371,1.2650398,5.4
7008,7008,2.59163367,1.27616133,6.0
7163,7163,2.75282566,1.32595262,5.0
7499,7499,-3.12964711,1.34713641,6.0
7521,7521,-3.09847989,1.3595058,5.1
7531,7531,-3.08586058,1.23007805,5.9
7539,7539,-3.06912963,1.31664124,5.4
7592,7592,-3.00476247,1.22284051,3.9
7599,7599,-2.99922752,1.22691629,5.2
7820,7820,-2.76416658,1.37709838,5.9
7853,7853,-2.72281136,1.24784564,5.7
7957,7957,-2.57868339,1.35755956,5.0
8023,8023,-2.49755241,1.32502372,4.4
8101,8101,-2.39621742,1.2978248,2.2
8206,8206,-2.28150094,1.25672956,5.1
8219,8219,-2.26548485,1.25684539,3.1
8273,8273,-2.21283961,1.35291897,5.3
8327,8327,-2.15636795,1.36047004,4.3
8416,8416,-2.07197475,1.34264737,5.6
8445,8445,-2.04107725,1.32652426,5.5
